Participant name	Recording name	Recording date	timeStamp	pupilLeft	pupilRight	Event	
TZ	Recording005	2016-06-09	24654	3.31012415885925	3.56189203262329		
TZ	Recording005	2016-06-09	24674	3.20922374725342	3.63791704177856		
TZ	Recording005	2016-06-09	24694	3.25019288063049	3.6454074382782		
TZ	Recording005	2016-06-09	24714	3.30422210693359			
TZ	Recording005	2016-06-09	24734	3.30605888366699	3.64174008369446		
TZ	Recording005	2016-06-09	24754	3.30486297607422	3.63504028320313		
TZ	Recording005	2016-06-09	24774	3.38101673126221	3.62612771987915		
TZ	Recording005	2016-06-09	24794	3.41139125823975	3.62627243995667		
TZ	Recording005	2016-06-09	24814	3.45582175254822	3.63288879394531		
TZ	Recording005	2016-06-09	24834	3.43271350860596	3.6367073059082		
TZ	Recording005	2016-06-09	24854	3.42724609375	3.63737297058105		
TZ	Recording005	2016-06-09	24874	3.43422389030457	3.63346934318542		
TZ	Recording005	2016-06-09	24894	3.42788815498352	3.62929034233093		
TZ	Recording005	2016-06-09	24914	3.40738153457642	3.62674951553345		
TZ	Recording005	2016-06-09	24934	3.40910696983337	3.55628037452698		
TZ	Recording005	2016-06-09	24954	3.40571355819702	3.66357684135437		
TZ	Recording005	2016-06-09	24974	3.41948461532593	3.67427778244019		
TZ	Recording005	2016-06-09	24994	3.43551015853882	3.69399762153625		
TZ	Recording005	2016-06-09	25014	3.16150140762329	3.63768291473389		
TZ	Recording005	2016-06-09	25034	3.20058035850525	3.62799835205078		
TZ	Recording005	2016-06-09	25054		3.65775871276855		
TZ	Recording005	2016-06-09	25074	3.31908583641052	3.63806462287903		
TZ	Recording005	2016-06-09	25094	3.33080983161926	3.60312104225159		
TZ	Recording005	2016-06-09	25114	3.33029270172119	3.57941961288452		
TZ	Recording005	2016-06-09	25134	3.30431389808655	3.60311794281006		
TZ	Recording005	2016-06-09	25154	3.27076411247253	3.59858751296997		
TZ	Recording005	2016-06-09	25174	3.26072883605957	3.57225608825684		
TZ	Recording005	2016-06-09	25194	3.25062918663025	3.56529951095581		
TZ	Recording005	2016-06-09	25214	3.22676134109497	3.5392324924469		
TZ	Recording005	2016-06-09	25234	3.25102615356445	3.52460241317749		
TZ	Recording005	2016-06-09	25254	3.22420644760132	3.55623960494995		
TZ	Recording005	2016-06-09	25274	3.30818700790405	3.54324793815613		
